Designator,Value,Package,Manufacturer,MPN,LCSC Part #,Notes
C1,0.22uF,0805,,,,"X7R ceramic, >=16V. Common value - match at JLCPCB checkout against their basic-parts catalog."
C2,0.22uF,0805,,,,"X7R ceramic, >=16V. Common value - match at JLCPCB checkout against their basic-parts catalog."
C3,0.22uF,0805,,,,"X7R ceramic, >=16V. Common value - match at JLCPCB checkout against their basic-parts catalog."
C4,0.22uF,0805,,,,"X7R ceramic, >=16V. Common value - match at JLCPCB checkout against their basic-parts catalog."
C5,0.1uF,0805,,,,"X7R ceramic, >=16V. VCC bypass. Common value - match at checkout."
C6,0.33uF,0805,,,,"X7R ceramic, >=16V. Common value - match at checkout."
C7,0.1uF,0805,,,,"X7R ceramic, >=16V. Common value - match at checkout."
C8,10uF,1206,,,,"X5R/X7R ceramic, >=16V. Common value - match at checkout."
C9,10uF,0805,,,,"X5R/X7R ceramic, >=16V. Common value - match at checkout."
C10,1uF,0805,,,,"X7R ceramic, >=16V. Common value - match at checkout."
C12,1uF,0805,,,,"X7R ceramic, >=16V. Common value - match at checkout."
C11,10uF,0805,,,,"X5R/X7R ceramic, >=16V. Common value - match at checkout."
L1,"2.2uH, 1.2A, 228mOhm, shielded",0805,Murata,DFE201210U-2R2M=P2,C2049745,"Verified exact MPN match, in stock (checked 2026-09-03)."
R1,750R,0805,,,,1%. Common value - match at checkout.
R2,750R,0805,,,,1%. Common value - match at checkout.
R3,750R,0805,,,,1%. Common value - match at checkout.
R4,750R,0805,,,,1%. Common value - match at checkout.
R5,750R,0805,,,,1%. Common value - match at checkout.
R6,330R,0805,,,,1%. Common value - match at checkout.
R7,330R,0805,,,,1%. Common value - match at checkout.
R8,330R,0805,,,,1%. Common value - match at checkout.
R9,10K,0805,,,,1%. Common value - match at checkout.
R10,10K,0805,,,,1%. Common value - match at checkout.
U1,MAX3237EIPWR,TSSOP-28,Texas Instruments,MAX3237EIPWR,C2671155,"Verified exact MPN match, in stock (checked 2026-09-03)."
U2,ESP32-S3-WROOM-1U-N16R8,SMD 18x19.2mm module,Espressif,ESP32-S3-WROOM-1U-N16R8,C3013946,"Verified exact MPN match, in stock (checked 2026-09-03)."
U4,74HCT245,SOIC-20W (300mil / 7.5x12.8mm),Nexperia,"74HCT245D,653",C5979,"Substituted manufacturer part (schematic value is generic) - same function and package, in stock (checked 2026-09-03)."
J11,Micro SD card socket,SMD push-push,Hirose,DM3AT-SF-PEJM5,C114218,"Verified exact MPN match, in stock (checked 2026-09-03). Suffix-specific reel variants also exist on LCSC (e.g. (11)/(21)/(40)/(41)) - electrically identical, differ only in packaging/reel."
