Designator,Mid X,Mid Y,Layer,Rotation
C1,65.7081mm,-28.4431mm,top,0.0000
C2,65.7581mm,-46.2625mm,top,0.0000
C3,60.3081mm,-35.4431mm,top,-90.0000
C4,60.2581mm,-39.9431mm,top,-90.0000
C5,43.0581mm,-56.0819mm,top,0.0000
C6,14.6081mm,-59.5819mm,top,90.0000
C7,14.6081mm,-36.5819mm,top,90.0000
C8,28.1081mm,-20.5569mm,top,-90.0000
C9,14.6081mm,-54.5819mm,top,90.0000
C10,72.8881mm,-47.1725mm,top,90.0000
C11,65.0000mm,-50.0000mm,top,90.0000
C12,69.0000mm,-56.0000mm,top,90.0000
J11,87.0000mm,-67.0000mm,top,90.0000
L1,69.5000mm,-52.0000mm,top,0.0000
R1,15.1081mm,-83.8469mm,top,-90.0000
R2,20.6081mm,-83.8469mm,top,-90.0000
R3,26.1081mm,-83.8469mm,top,-90.0000
R4,31.6081mm,-83.8469mm,top,-90.0000
R5,42.6081mm,-83.8469mm,top,-90.0000
R6,53.6081mm,-83.8469mm,top,90.0000
R7,48.1081mm,-83.8469mm,top,90.0000
R8,37.1081mm,-83.8469mm,top,90.0000
R9,81.1956mm,-51.0819mm,top,0.0000
R10,43.1081mm,-62.0819mm,top,180.0000
U1,69.0331mm,-38.2625mm,top,90.0000
U2,62.3600mm,-68.5000mm,top,-90.0000
U3,30.6081mm,-35.0819mm,top,0.0000
U4,70.6081mm,-89.5819mm,top,-90.0000
U5,30.8331mm,-56.0819mm,top,0.0000
